ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,choline_tot_mg,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,vit_k_ug,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,51.368,21.021,3.043,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,0
1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,1.62,2.87,0,0.06,23,0.05,1,24,41,583,0.05,0.01,0.001,0,0,0.007,0.064,0.022,0.097,0.008,4,0,4,4,18.8,0.07,2468,683,671,1,135,6,0,13,1.37,0,0,4.6,45.39,19.874,3.331,225,3.8,"1 pat,  (1"" sq, 1/3"" high)",9.4,1 tbsp,0
1011,"CHEESE,COLBY",38.2,394,23.76,32.11,3.36,2.57,0,0.52,685,0.76,26,457,127,604,3.07,0.042,0.012,14.5,0,0.015,0.375,0.093,0.21,0.079,18,0,18,18,15.4,0.83,994,264,257,0,82,0,0,0,0.28,0.6,24,2.7,20.218,9.28,0.953,95,132,"1 cup, diced",113,"1 cup, shredded",0
1112,"WHEY,ACID,FLUID",93.42,24,0.76,0.09,0.61,5.12,0,5.12,103,0.08,10,78,143,48,0.43,0.003,0.002,1.8,0.1,0.042,0.14,0.079,0.381,0.042,2,0,2,2,16,0.18,7,2,2,0,0,0,0,0,0,,,0,0.057,0.025,0.004,1,246,1 cup,984,1 quart,0
5180,"TURKEY FROM WHL,NECK,MEAT ONLY,CKD,SIMMRD",69.47,162,22.48,7.36,1.12,0,0,0,58,1.18,18,182,114,246,4.03,0.158,0.053,36.2,0,0.048,0.288,5.88,0.874,0.375,7,0,7,7,77.7,1.42,0,0,0,0,0,0,0,0,0.64,0.3,12,0,2.216,2.527,2.038,128,85,1 serving,,,53
5181,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,RAW",70.68,161,21.96,7.43,0.96,0.15,0,0.06,11,0.75,25,188,223,105,1.25,0.067,0.011,20.7,0,0.038,0.139,8.968,0.73,0.711,7,0,7,7,50.4,0.67,62,19,19,0,0,0,0,0,0.07,0.3,11,0,1.899,2.431,1.952,67,85,3 oz,453,1 lb,32
5182,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,CKD,RSTD",64.79,177,29.55,5.57,1.22,0.05,0,0,11,0.8,32,230,248,101,1.76,0.068,0.012,29.3,0,0.035,0.213,11.608,0.902,0.767,9,0,9,9,82.5,0.5,35,10,10,0,0,0,0,0,0.07,0.4,14,0,1.603,1.984,1.596,89,85,1 serving,,,20
5183,"TURKEY,DK MEAT,MEAT & SKN,RAW",71.1,161,19.81,8.97,0.94,0.15,0,0.1,11,1,22,166,208,113,2.32,0.085,0.014,20.2,0,0.055,0.229,5.378,0.857,0.391,6,0,6,6,63.8,1.84,86,26,26,0,0,0,0,0,0.11,0.5,19,0,2.413,3.091,2.443,87,28.35,1 oz,453,1 lb,48
5184,"TURKEY,DK MEAT FROM WHL,MEAT & SKN,CKD,RSTD",61.66,206,27.27,9.95,1.14,0.07,0,0,17,1.45,27,215,228,105,3.35,0.125,0.017,30.2,0,0.057,0.365,7.103,1.004,0.43,9,0,9,9,93.2,1.66,47,14,14,0,0,0,0,0,0.08,0.4,15,0,2.93,3.594,2.867,134,85,1 serving,,,38
5185,"TURKEY FROM WHL,LT MEAT,RAW",74.89,114,23.66,1.48,1.04,0.14,0,0.05,11,0.73,28,201,242,113,1.28,0.07,0.011,22.7,0,0.042,0.145,9.924,0.775,0.813,7,0,7,7,53,0.63,20,6,6,0,0,0,0,0,0.06,0.1,5,0,0.289,0.264,0.258,57,85,1 serving,,,29
